"순번","단계","차수","에픽","영역","작업코드","작업명","담당","우선순위","산출물","스토리 포인트","요약","선행작업","완료여부","상태"
"23","1차 MVP 상세","1차","Epic B. 공용 ComfyUI 서버화","Runtime","AI-201-04","ComfyUI 실행 명령과 재기동 스크립트 표준화","AI1","P0","표준 실행 스크립트","1","누가 실행해도 같은 옵션으로 ComfyUI를 다시 띄울 수 있도록 start 스크립트와 옵션을 표준화한다.","AI-201-03;AI-204-05","Y","완료"
"24","1차 MVP","1차","Epic E. 공용 ComfyUI 서버화","Runtime","AI-202","기준 워크플로 1종과 기준 프롬프트 확정","AI1","P0","기준 workflow JSON","1","서버 연동과 저장 검증에 사용할 text-to-image 기준 워크플로와 샘플 프롬프트를 하나 고정한다.","AI-201","Y","완료"
"25","1차 MVP 상세","1차","Epic B. 공용 ComfyUI 서버화","Baseline/Workflow","AI-202-01","1차 MVP 기준 workflow 1종 선정","AI1","P0","기준 workflow JSON","1","운영 검증과 저장 테스트에 사용할 text-to-image 기준 워크플로 하나를 선정한다.","AI-202","Y","완료"
"26","1차 MVP 상세","1차","Epic B. 공용 ComfyUI 서버화","Baseline/Workflow","AI-202-02","기준 프롬프트·negative·seed 값 고정","AI1","P0","기준 프롬프트 세트","1","반복 검증이 가능하도록 prompt, negative prompt, seed, steps의 기준값을 고정한다.","AI-202-01","Y","완료"
"27","1차 MVP 상세","1차","Epic B. 공용 ComfyUI 서버화","Baseline/Workflow","AI-202-03","기준 workflow로 기준 결과 1장 저장","AI1","P0","기준 결과 이미지","1","기준 워크플로와 기준 프롬프트로 결과 이미지를 1장 생성해 이후 비교 기준으로 남긴다.","AI-202-02","Y","완료"
"28","1차 MVP","2차","Epic E. 공용 ComfyUI 서버화","Infra/Proxy","AI-203","Reverse Proxy 기본 경로 설계","AI1","P0","프록시 설정 초안","2","구매 예정 도메인과 tools 하위 AI 도구 전용 인프라 기준으로 ComfyUI 원본 UI와 결과 조회 페이지에 접근할 수 있도록 프록시 경로와 포트를 설계한다.","AI-201","Y","완료"
"29","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Proxy","AI-203-01","공개 경로 전략 선택","AI1","P0","경로 선택 문서","1","`/comfy` 같은 path 방식보다 `comfy.도메인` 같은 subdomain 방식으로 확정한다. 실제 도메인 이름은 구매 후 결정한다.","AI-203","Y","완료"
"30","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Proxy","AI-203-02","프록시 서버 위치와 역할 확정","AI1","P0","배포 구조 메모","1","운영 데스크탑이 Nginx, AI 도구 백엔드, Postgres, 가능하면 ComfyUI까지 맡고 GPU 데스크탑은 대체 추론 또는 학습용으로 쓰는 구조를 확정한다.","AI-203-01","Y","완료"
"31","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Proxy","AI-203-03","Nginx 프록시 설정 초안 작성","AI1","P0","Nginx 설정 초안","2","tools/infra 기준으로 AI 도구 API와 ComfyUI UI, 정적 파일, WebSocket을 전달할 수 있는 Nginx 설정 초안을 작성한다.","AI-203-02","Y","완료"
"32","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Proxy","AI-203-04","WebSocket 업그레이드 처리 포함 여부 검증","AI1","P0","프록시 체크리스트","1","ComfyUI는 `/ws`를 사용하므로 Upgrade와 Connection 헤더 전달을 프록시에 반드시 포함시키는 기준을 정리한다.","AI-203-03","Y","완료"
"33","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Proxy","AI-203-05","tools/infra docker-compose와 실제 디렉터리 구조 맞춤","AI1","P0","정리된 디렉터리 구조","1","기존 server 설정을 수정하지 않고 tools/infra 아래 nginx, postgres, compose, env 예시 구조를 맞춘다.","AI-203-02","Y","완료"
"34","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Proxy","AI-203-06","nginx 디렉터리와 template 스켈레톤 생성","AI1","P0","nginx 초기 파일","1","프록시 설정을 넣을 nginx/nginx.conf와 templates 기본 파일을 실제로 만든다.","AI-203-05","Y","완료"
"35","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Proxy","AI-203-07","Nginx 단독 smoke test 수행","AI1","P0","프록시 기본 기동 확인","1","ComfyUI 연결 전에 Nginx 설정 문법 검사와 기본 기동 테스트를 먼저 수행한다.","AI-203-06","Y","완료"
"36","1차 MVP","2차","Epic E. 공용 ComfyUI 서버화","Infra/UI","AI-204","ComfyUI 원본 UI 내부 주소 연결","AI1","P0","내부 접속 가능한 ComfyUI 주소","2","로컬 전용 127.0.0.1 주소가 아니라 팀 내부에서 접근 가능한 주소로 ComfyUI UI를 노출한다.","AI-203","Y","완료 - 로컬 프록시 UI/생성 통과"
"37","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/UI","AI-204-01","GPU 데스크탑 방화벽에서 ComfyUI 포트 허용 범위 설정","AI1","P0","방화벽 설정 메모","1","ComfyUI 포트를 전체 공개하지 않고 프록시 서버에서만 접근 가능하도록 허용 범위를 정한다.","AI-204","Y","완료 - 로컬 운영 데스크탑 기준"
"38","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/UI","AI-204-02","프록시 서버에서 ComfyUI HTTP 연결 확인","AI1","P0","연결 테스트 결과","1","프록시 서버에서 GPU 데스크탑 ComfyUI 주소로 실제 HTTP 요청이 되는지 확인한다.","AI-204-01;AI-203-03","Y","완료 - 로컬 프록시 HTTP 200"
"39","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/UI","AI-204-03","프록시 서버에서 ComfyUI WebSocket 연결 확인","AI1","P0","WebSocket 테스트 결과","1","단순 HTML 연결이 아니라 `/ws` 연결까지 되는지 확인해 UI가 실제로 동작할 수 있게 한다.","AI-204-02;AI-203-04","Y","완료 - 로컬 프록시 WS 101"
"40","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/UI","AI-204-04","정적 파일과 UI 동작 최종 점검","AI1","P0","UI 접속 점검 기록","1","브라우저에서 프록시 주소로 접속했을 때 화면, 모델 목록, 생성 큐가 정상 동작하는지 확인한다.","AI-204-03","Y","완료 - localhost UI 확인"
"41","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/UI","AI-204-05","ComfyUI 백그라운드 실행과 재기동 기준 정리","AI1","P0","운영 실행 메모","1","GPU 데스크탑 재부팅이나 ComfyUI 종료 시 어떻게 다시 띄울지 기준을 정한다.","AI-204-01","Y","완료"
"42","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/UI","AI-204-06","프록시 주소 기준 생성 1회 smoke test","AI1","P0","프록시 생성 테스트 기록","1","프록시 주소로 들어간 UI에서 실제로 1회 생성까지 되는지 확인한다.","AI-204-04;AI-202-03","Y","완료 - 프록시 UI 생성 성공"
"43","1차 MVP","2차","Epic E. 공용 ComfyUI 서버화","Infra/Security","AI-205","도메인 및 HTTPS 적용","AI1","P0","HTTPS 접속 경로","2","내부 공유용 주소에 HTTPS를 붙여 브라우저 경고 없이 접근 가능하게 한다.","AI-204","",""
"44","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Security","AI-205-01","AI 도구용 도메인 또는 서브도메인 생성","AI1","P0","DNS 레코드","1","내부 공유에 쓸 주소를 정하고 해당 DNS 레코드가 프록시 서버를 가리키게 만든다.","AI-205","",""
"45","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Security","AI-205-02","80·443 포트 외부 접근 가능 상태 확인","AI1","P0","포트 점검 결과","1","도메인 연결 전후로 80, 443 포트가 실제 접근 가능한지 확인한다.","AI-205-01","",""
"46","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Security","AI-205-03","Let's Encrypt 인증서 발급 및 Nginx SSL 설정","AI1","P0","HTTPS 설정","2","certbot으로 인증서를 발급받고 Nginx에 SSL 설정을 연결한다.","AI-205-02","",""
"47","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Security","AI-205-04","HTTP→HTTPS 리다이렉트와 인증서 자동 갱신 설정","AI1","P0","리다이렉트 및 갱신 설정","1","HTTP 요청을 HTTPS로 넘기고 인증서가 자동 갱신되도록 운영 설정을 마무리한다.","AI-205-03","",""
"48","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Security","AI-205-05","certbot dry-run 및 자동 갱신 검증","AI1","P1","갱신 검증 기록","1","인증서 발급만 하지 않고 dry-run으로 자동 갱신까지 한 번 확인한다.","AI-205-04","",""
"49","1차 MVP","2차","Epic E. 공용 ComfyUI 서버화","Infra/Security","AI-206","도메인 앞단 Basic Auth 적용","AI1","P0","Basic Auth 설정","2","내부 도구 접근을 1차로 제한하기 위해 Reverse Proxy 앞단 Basic Auth를 적용한다.","AI-205","N","설정/절차 준비 완료, 실제 도메인 검증 대기"
"50","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Security","AI-206-01","Basic Auth 계정 생성","AI1","P0","htpasswd 파일","1","Nginx에서 사용할 Basic Auth 계정과 비밀번호 파일을 만든다.","AI-206","N","계정 생성 절차 문서화, 실제 .htpasswd는 운영 환경에서 생성"
"51","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Security","AI-206-02","Basic Auth 적용 대상 경로 확정","AI1","P0","보호 경로 목록","1","ComfyUI UI 전체를 보호할지, 결과 조회까지 보호할지 먼저 정하고 경로 기준을 고정한다.","AI-206-01","Y","완료 - COMFYUI_DOMAIN 전체와 PUBLIC_DOMAIN /api 보호"
"52","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Security","AI-206-03","Nginx Basic Auth 설정 적용","AI1","P0","인증 설정 반영","1","선정한 경로에 Basic Auth를 붙이고 브라우저에서 인증이 실제 동작하는지 확인한다.","AI-206-02","N","Nginx 설정 반영, 실제 도메인 브라우저 검증 대기"
"53","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Security","AI-206-04","팀 공유용 계정 전달 및 교체 규칙 문서화","AI1","P1","운영 메모","1","초기 비밀번호 전달 방식, 주기적 교체 여부, 외부 공유 금지 규칙을 짧게 정리한다.","AI-206-03","Y","완료 - auth README에 전달/교체 기준 정리"
"54","1차 MVP 상세","2차","Epic B. 공용 ComfyUI 서버화","Infra/Security","AI-206-05","Basic Auth 예외 경로 기준 정리","AI1","P1","예외 경로 메모","1","health check나 내부 API 중 Basic Auth를 빼야 하는 경로가 있는지 먼저 정리한다.","AI-206-03","Y","완료 - nginx-health와 ACME challenge 예외"
"55","1차 MVP","1차","Epic F. ComfyUI API 실측","Baseline/API","AI-301","POST /prompt 요청 샘플 확보","AI1","P0","prompt 요청 예제 JSON","1","실제로 동작하는 요청 body를 저장해 이후 서버 연동의 기준 샘플로 사용한다.","AI-202","",""
"56","1차 MVP 상세","1차","Epic C. ComfyUI API 실측","Baseline/API","AI-301-01","성공하는 /prompt 요청 body 저장","AI1","P0","요청 샘플 JSON","1","기준 workflow를 실제로 통과시키는 /prompt 요청 JSON을 파일로 남긴다.","AI-301;AI-202-03","",""
"57","1차 MVP 상세","1차","Epic C. ComfyUI API 실측","Baseline/API","AI-301-02","curl 또는 Postman 재현 절차 기록","AI1","P0","재현 절차 메모","1","누구나 같은 요청을 재현할 수 있도록 curl 또는 Postman 기준 절차를 남긴다.","AI-301-01","",""
"58","1차 MVP","1차","Epic F. ComfyUI API 실측","Baseline/API","AI-302","GET /history/{prompt_id} 응답 샘플 확보","AI1","P0","history 응답 예제 JSON","1","prompt_id 기준으로 어떤 응답 구조와 output 정보가 오는지 실제 샘플을 저장한다.","AI-301","",""
"59","1차 MVP 상세","1차","Epic C. ComfyUI API 실측","Baseline/API","AI-302-01","/history 응답 raw JSON 저장","AI1","P0","응답 샘플 JSON","1","기준 prompt_id에 대한 /history 응답 원본을 저장한다.","AI-302;AI-301-01","",""
"60","1차 MVP 상세","1차","Epic C. ComfyUI API 실측","Baseline/API","AI-302-02","응답에서 output 관련 key 추출 규칙 정리","AI1","P0","응답 해석 메모","1","어떤 key에서 이미지 파일 정보와 상태를 읽을지 정리한다.","AI-302-01","",""
"61","1차 MVP","1차","Epic F. ComfyUI API 실측","Baseline/API","AI-303","prompt_id와 output 파일 매핑 규칙 정리","AI1","P0","매핑 규칙 문서","1","history 응답, 생성 시각, output 파일명을 어떻게 연결할지 규칙을 정리한다.","AI-302","",""
"62","1차 MVP 상세","1차","Epic C. ComfyUI API 실측","Baseline/API","AI-303-01","prompt_id와 output 파일명 연결 표 작성","AI1","P0","매핑 표","1","prompt_id, 생성 시각, output 파일명을 서로 연결한 표를 만든다.","AI-303;AI-302-02","",""
"63","1차 MVP 상세","1차","Epic C. ComfyUI API 실측","Baseline/API","AI-303-02","workflow 이름·모델명 추출 규칙 정리","AI1","P1","메타데이터 추출 메모","1","DB에 저장할 workflow 이름과 모델명을 어디서 읽을지 기준을 정한다.","AI-303-01","",""
"64","1차 MVP","2차","Epic F. ComfyUI API 실측","Baseline/Error","AI-304","실패 및 timeout 시나리오 샘플 수집","AI1","P1","실패 케이스 메모","1","모델 없음, 잘못된 workflow, timeout 같은 실패 응답 케이스를 최소 1개씩 정리한다.","AI-302","",""
"65","1차 MVP 상세","2차","Epic C. ComfyUI API 실측","Baseline/Error","AI-304-01","잘못된 workflow 또는 모델 없음 실패 샘플 수집","AI1","P1","실패 샘플 1건 이상","1","의도적으로 실패를 만들고 어떤 응답과 로그가 남는지 저장한다.","AI-304","",""
"66","1차 MVP 상세","2차","Epic C. ComfyUI API 실측","Baseline/Error","AI-304-02","폴링 timeout 기준값 초안 작성","AI1","P1","timeout 초안","1","생성 대기 시간을 몇 초까지 허용할지 운영 기준 초안을 만든다.","AI-304-01","",""
"67","1차 MVP 상세","2차","Epic C. ComfyUI API 실측","Baseline/Error","AI-304-03","실패 메시지 표준 문구 초안 정리","AI1","P1","실패 메시지 표","1","사용자 화면과 로그에 각각 어떤 실패 문구를 남길지 초안을 정한다.","AI-304-02","",""
"68","1차 MVP","1차","Epic G. AI 도구 백엔드 구축","BE/Bootstrap","AI-401","AI 도구 백엔드 프로젝트 부트스트랩","AI1","P0","백엔드 프로젝트 뼈대","2","ComfyUI 내부 도구 전용 Spring Boot 프로젝트 또는 별도 모듈을 만들고 기본 구조를 잡는다.","AI-102;AI-103","Y","완료"
"69","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/Bootstrap","AI-401-01","AI 도구 백엔드 위치 확정","AI1","P0","저장소 구조 결정","1","게임 서버와 분리된 AI 도구 백엔드 코드를 어디에 둘지 먼저 확정한다.","AI-401;AI-102","Y","완료"
"70","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/Bootstrap","AI-401-02","Health endpoint와 공통 응답 포맷 추가","AI1","P0","/health 및 ApiResponse","1","배포와 프록시 검증에 쓸 health endpoint와 공통 응답 포맷을 먼저 만든다.","AI-401-01","Y","완료"
"71","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/Bootstrap","AI-401-03","패키지 구조와 기본 설정 파일 뼈대 생성","AI1","P0","기본 프로젝트 뼈대","1","controller, service, repository, config 구조와 기본 properties 파일을 만든다.","AI-401-02","Y","완료"
"72","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/Bootstrap","AI-401-04","build.gradle 의존성 및 기본 패키지 정리","AI1","P0","기본 build 파일","1","웹, Postgres/JPA, S3, 인증, 문서화에 필요한 기본 의존성을 정리한다.","AI-401-03","Y","완료"
"73","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/Bootstrap","AI-401-05","Dockerfile과 이미지 빌드 경로 정리","AI1","P1","Dockerfile","1","AI 도구 백엔드를 컨테이너로 배포할 수 있게 Dockerfile과 build 경로를 정리한다.","AI-401-04","Y","완료"
"74","1차 MVP","1차","Epic G. AI 도구 백엔드 구축","BE/Config","AI-402","ComfyUI·S3·Postgres 연동 설정값 구현","AI1","P0","환경변수 / 설정 클래스","2","COMFYUI_HOST, COMFYUI_PORT, S3 버킷, Postgres 접속 정보, timeout 값을 코드에서 읽을 수 있게 만든다.","AI-401;AI-104","",""
"75","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/Config","AI-402-01","환경변수 목록과 .env 예시 작성","AI1","P0",".env.example","1","ComfyUI, S3, Postgres, 로그인 관련 환경변수 목록을 먼저 적어둔다.","AI-402;AI-401-03","",""
"76","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/Config","AI-402-02","ComfyUI HTTP 클라이언트 설정 구현","AI1","P0","HTTP client config","1","host, port, timeout을 읽어 /prompt와 /history를 호출할 수 있는 HTTP 클라이언트를 만든다.","AI-402-01","",""
"77","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/Config","AI-402-03","S3와 Postgres 설정 객체 분리","AI1","P1","설정 클래스","1","저장소 설정을 ComfyUI 호출 설정과 분리해 나중에 바꾸기 쉽게 만든다.","AI-402-01","",""
"78","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/Config","AI-402-04","dev/prod profile과 .env 매핑 표 작성","AI1","P1","환경 매핑표","1","개발 환경과 운영 환경에서 어떤 값을 어디서 읽는지 표로 정리한다.","AI-402-03","",""
"79","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/Config","AI-402-05","환경변수 누락 시 fail-fast 검증 추가","AI1","P1","시작 검증 로직","1","필수 환경변수가 비어 있으면 서버 시작 단계에서 바로 오류를 내도록 검증을 추가한다.","AI-402-04","",""
"80","1차 MVP","1차","Epic G. AI 도구 백엔드 구축","BE/API","AI-403","생성 요청용 최소 API 엔드포인트 구현","AI1","P0","POST 생성 API","2","내부 화면 또는 테스트 클라이언트가 생성 요청을 시작할 수 있는 최소 엔드포인트를 만든다.","AI-402","",""
"81","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/API","AI-403-01","생성 요청 DTO와 검증 규칙 정의","AI1","P0","요청 DTO","1","workflow ID, prompt, user 정보 등 생성 API가 받을 값을 먼저 정의한다.","AI-403;AI-401-03","",""
"82","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/API","AI-403-02","생성 요청 Controller 엔드포인트 추가","AI1","P0","POST 엔드포인트","1","생성 요청을 받아 서비스 레이어로 넘기는 최소 controller를 만든다.","AI-403-01","",""
"83","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/API","AI-403-03","입력 오류에 대한 응답 형식 정리","AI1","P1","오류 응답 정책","1","workflow 누락, prompt 누락 같은 입력 오류에 대한 응답 형식을 정리한다.","AI-403-02","",""
"84","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/API","AI-403-04","Swagger 또는 OpenAPI로 생성 API 초안 노출","AI1","P1","API 문서 화면","1","초기 구현 단계부터 요청과 응답 형식을 브라우저에서 확인할 수 있게 한다.","AI-403-03","",""
"85","1차 MVP","1차","Epic G. AI 도구 백엔드 구축","BE/ComfyUI","AI-404","서버에서 ComfyUI /prompt 호출 구현","AI1","P0","/prompt 호출 로직","2","생성 요청을 받아 ComfyUI에 프롬프트를 보내고 prompt_id를 받는 흐름을 구현한다.","AI-403;AI-301","",""
"86","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/ComfyUI","AI-404-01","/prompt 요청 조립 서비스 구현","AI1","P0","PromptService","2","Controller 입력을 실제 ComfyUI /prompt 요청 body로 바꾸는 서비스를 구현한다.","AI-404;AI-402-02;AI-403-02","",""
"87","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/ComfyUI","AI-404-02","/prompt 응답에서 prompt_id 수신 및 1차 저장 연동","AI1","P0","prompt_id 저장 흐름","1","ComfyUI 응답에서 prompt_id를 받아 DB 저장 단계와 연결한다.","AI-404-01","",""
"88","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/ComfyUI","AI-404-03","/prompt 요청·응답 raw logging 지점 추가","AI1","P1","디버그 로그 지점","1","실패 분석을 위해 /prompt 원문 요청과 응답을 남길 최소 로그 지점을 추가한다.","AI-404-02","",""
"89","1차 MVP","1차","Epic G. AI 도구 백엔드 구축","BE/ComfyUI","AI-405","/history 폴링 서비스 구현","AI1","P0","폴링 서비스","3","prompt_id 기준으로 완료될 때까지 /history를 조회하는 서비스를 구현한다.","AI-404;AI-302","",""
"90","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/ComfyUI","AI-405-01","폴링 간격과 timeout 상수 확정","AI1","P0","폴링 기준값","1","/history를 몇 초 간격으로 조회하고 몇 초에서 끊을지 상수를 먼저 정한다.","AI-405;AI-304-02","",""
