"순번","단계","차수","에픽","영역","작업코드","작업명","담당","우선순위","산출물","스토리 포인트","요약","선행작업","완료여부","상태"
"23","1차 MVP","1차","Epic F. ComfyUI API 실측","Baseline/API","AI-302","GET /history/{prompt_id} 응답 샘플 확보","AI1","P0","history 응답 예제 JSON","1","prompt_id 기준으로 어떤 응답 구조와 output 정보가 오는지 실제 샘플을 저장한다.","AI-301","",""
"24","1차 MVP","1차","Epic F. ComfyUI API 실측","Baseline/API","AI-303","prompt_id와 output 파일 매핑 규칙 정리","AI1","P0","매핑 규칙 문서","1","history 응답, 생성 시각, output 파일명을 어떻게 연결할지 규칙을 정리한다.","AI-302","",""
"25","1차 MVP","2차","Epic F. ComfyUI API 실측","Baseline/Error","AI-304","실패 및 timeout 시나리오 샘플 수집","AI1","P1","실패 케이스 메모","1","모델 없음, 잘못된 workflow, timeout 같은 실패 응답 케이스를 최소 1개씩 정리한다.","AI-302","",""
"26","1차 MVP","1차","Epic G. AI 도구 백엔드 구축","BE/Bootstrap","AI-401","AI 도구 백엔드 프로젝트 부트스트랩","AI1","P0","백엔드 프로젝트 뼈대","2","ComfyUI 내부 도구 전용 Spring Boot 프로젝트 또는 별도 모듈을 만들고 기본 구조를 잡는다.","AI-102;AI-103","",""
"27","1차 MVP","1차","Epic G. AI 도구 백엔드 구축","BE/Config","AI-402","ComfyUI·S3·Postgres 연동 설정값 구현","AI1","P0","환경변수 / 설정 클래스","2","COMFYUI_HOST, COMFYUI_PORT, S3 버킷, Postgres 접속 정보, timeout 값을 코드에서 읽을 수 있게 만든다.","AI-401;AI-104","",""
"28","1차 MVP","1차","Epic G. AI 도구 백엔드 구축","BE/API","AI-403","생성 요청용 최소 API 엔드포인트 구현","AI1","P0","POST 생성 API","2","내부 화면 또는 테스트 클라이언트가 생성 요청을 시작할 수 있는 최소 엔드포인트를 만든다.","AI-402","",""
"29","1차 MVP","1차","Epic G. AI 도구 백엔드 구축","BE/ComfyUI","AI-404","서버에서 ComfyUI /prompt 호출 구현","AI1","P0","/prompt 호출 로직","2","생성 요청을 받아 ComfyUI에 프롬프트를 보내고 prompt_id를 받는 흐름을 구현한다.","AI-403;AI-301","",""
"30","1차 MVP","1차","Epic G. AI 도구 백엔드 구축","BE/ComfyUI","AI-405","/history 폴링 서비스 구현","AI1","P0","폴링 서비스","3","prompt_id 기준으로 완료될 때까지 /history를 조회하는 서비스를 구현한다.","AI-404;AI-302","",""
"31","1차 MVP","2차","Epic G. AI 도구 백엔드 구축","BE/Error","AI-406","timeout 및 failed 상태 처리 구현","AI1","P0","실패 처리 로직","2","지정 시간 초과, ComfyUI 실패, output 없음 같은 케이스를 상태값으로 처리한다.","AI-405;AI-304","",""
"32","1차 MVP","1차","Epic H. 저장 / 메타데이터","DB/Schema","AI-501","Postgres 최소 스키마 생성","AI1","P0","초기 DB 스키마","2","users, workflow_snapshots, generations, generation_outputs, audit_logs 테이블을 생성한다.","AI-104;AI-401","",""
"33","1차 MVP","1차","Epic H. 저장 / 메타데이터","DB/Schema","AI-502","users 및 workflow_snapshots 테이블 상세 필드 구현","AI1","P0","기본 테이블 정의","2","작성자 식별과 workflow 재현용 메타데이터를 담는 기본 테이블 구조를 구현한다.","AI-501","",""
"34","1차 MVP","1차","Epic H. 저장 / 메타데이터","DB/Schema","AI-503","generations 및 generation_outputs 테이블 상세 필드 구현","AI1","P0","생성 결과 테이블 정의","2","prompt_id, status, prompt_summary, image_url, created_at 등을 담는 결과 테이블 구조를 구현한다.","AI-501","",""
"35","1차 MVP","2차","Epic H. 저장 / 메타데이터","DB/Schema","AI-504","audit_logs 테이블 구현","AI1","P1","로그 테이블 정의","1","login, generate, upload, download 실패를 기록할 최소 로그 테이블을 만든다.","AI-501","",""
"36","1차 MVP","1차","Epic H. 저장 / 메타데이터","DB/Write","AI-505","generation 메타데이터 저장 구현","AI1","P0","메타데이터 저장 로직","2","생성 시작 시점에 사용자, prompt_id, workflow 정보, 상태를 DB에 저장한다.","AI-404;AI-502;AI-503","",""
"37","1차 MVP","1차","Epic H. 저장 / 메타데이터","Storage/S3","AI-506","S3 버킷 및 키 경로 규칙 확정","AI1","P0","S3 저장 규칙 문서","1","이미지 파일명을 어떤 키 구조로 저장할지와 환경별 버킷 구성을 정한다.","AI-104","",""
"38","1차 MVP","1차","Epic H. 저장 / 메타데이터","Storage/S3","AI-507","output 파일 S3 업로드 구현","AI1","P0","S3 업로드 로직","3","ComfyUI output 파일을 읽어 S3에 업로드하는 로직을 구현한다.","AI-405;AI-506","",""
"39","1차 MVP","1차","Epic H. 저장 / 메타데이터","DB/Write","AI-508","업로드 성공 후 image_url 및 상태 갱신 구현","AI1","P0","상태 갱신 로직","2","S3 업로드 완료 후 generation_outputs.image_url과 generations.status를 갱신한다.","AI-505;AI-507","",""
"40","1차 MVP","1차","Epic I. 결과 조회 / 히스토리","BE/Query","AI-601","최근 생성물 목록 API 구현","AI1","P0","목록 조회 API","2","최신순 목록, 생성자, 생성일시, 상태, 대표 이미지 경로를 반환하는 API를 구현한다.","AI-508","",""
"41","1차 MVP","1차","Epic I. 결과 조회 / 히스토리","BE/Query","AI-602","결과 상세 API 구현","AI1","P0","상세 조회 API","2","이미지, prompt 요약, full prompt, workflow 이름, 모델명, 상태를 보여줄 상세 API를 만든다.","AI-508","",""
"42","1차 MVP","2차","Epic I. 결과 조회 / 히스토리","BE/Query","AI-603","생성자 기준 필터 API 구현","AI1","P1","필터 API","1","목록 조회 시 생성자 기준으로 필터링할 수 있는 쿼리 조건을 구현한다.","AI-601","",""
"43","1차 MVP","1차","Epic I. 결과 조회 / 히스토리","BE/Download","AI-604","이미지 다운로드 API 구현","AI1","P0","이미지 다운로드 API","1","상세 화면에서 원본 이미지를 내려받을 수 있게 한다.","AI-602","",""
"44","1차 MVP","2차","Epic I. 결과 조회 / 히스토리","BE/Download","AI-605","workflow JSON 다운로드 API 구현","AI1","P1","workflow 다운로드 API","1","재현에 필요한 workflow JSON을 다운로드할 수 있게 한다.","AI-602;AI-502","",""
"45","1차 MVP","1차","Epic I. 결과 조회 / 히스토리","UI/Web","AI-606","결과 목록 최소 화면 구현","AI1","P0","목록 페이지","3","최근 생성물 목록, 상태 배지, 생성자 필터를 볼 수 있는 최소 페이지를 만든다.","AI-601;AI-603","",""
"46","1차 MVP","1차","Epic I. 결과 조회 / 히스토리","UI/Web","AI-607","결과 상세 최소 화면 구현","AI1","P0","상세 페이지","3","이미지, 메타데이터, 다운로드 버튼, workflow 정보가 보이는 상세 페이지를 만든다.","AI-602;AI-604;AI-605","",""
"47","1차 MVP","3차","Epic I. 결과 조회 / 히스토리","UI/Web","AI-608","내부 링크 복사 기능 구현","AI1","P1","링크 복사 버튼","1","결과 상세 페이지 URL을 쉽게 공유할 수 있도록 링크 복사 기능을 넣는다.","AI-607","",""
"48","1차 MVP","2차","Epic J. 인증 / 운영","BE/Auth","AI-701","앱 로그인 최소 구현","AI1","P0","로그인 API / 세션 처리","2","내부 사용자를 구분하고 생성자 필터에 쓸 수 있도록 간단 로그인 기능을 구현한다.","AI-501","",""
"49","1차 MVP","3차","Epic J. 인증 / 운영","Ops/Log","AI-702","실패 로그 조회 API 또는 최소 화면 구현","AI1","P1","실패 로그 조회 기능","2","최근 generate와 upload 실패를 빠르게 볼 수 있는 최소 조회 기능을 구현한다.","AI-504;AI-406","",""
"50","1차 MVP","3차","Epic J. 인증 / 운영","Ops/Resource","AI-703","공용 모델·LoRA·프리셋 관리 기준 정리","AI1","P1","리소스 운영 문서","1","어떤 모델을 공용으로 두고 어떤 경로에 놓을지와 프리셋 이름 규칙을 정리한다.","AI-010;AI-201","",""
"51","1차 MVP","3차","Epic J. 인증 / 운영","Ops/AssetPolicy","AI-704","Git 업로드 제외 및 경로 운영 규칙 최종화","AI1","P1","에셋 관리 규칙 문서","1","모델 파일과 LoRA 가중치를 Git에 올리지 않고 경로와 이름만 문서로 관리하는 규칙을 확정한다.","AI-703","",""
"52","1차 MVP","1차","Epic K. 통합 검증 / 데모","QA/E2E","AI-801","생성→S3 업로드→DB 기록→목록→상세→다운로드 통합 검증","AI1","P0","통합 검증 기록","2","핵심 MVP 흐름이 실제로 한 번 끝까지 도는지 점검하고 결과를 기록한다.","AI-206;AI-406;AI-508;AI-607;AI-701","",""
"53","1차 MVP","2차","Epic K. 통합 검증 / 데모","QA/Failure","AI-802","의도적 실패 케이스와 audit log 검증","AI1","P1","실패 케이스 검증 기록","1","잘못된 workflow나 업로드 실패 같은 케이스를 일부러 발생시켜 로그와 상태가 남는지 확인한다.","AI-702;AI-801","",""
"54","1차 MVP","3차","Epic K. 통합 검증 / 데모","Docs/Handoff","AI-803","데모 체크리스트 및 handoff 문서 갱신","AI1","P1","데모 체크리스트 / handoff","1","무엇이 완료됐고 무엇이 남았는지 다음 작업자가 바로 이어받을 수 있게 문서를 갱신한다.","AI-801;AI-802","",""
